;Code;Parent code level 1;Parent code;Level nr;Prometis_label_D_retail;Prometis_label_D_corp;Label NL;ffill_retail;ffill_corp
405;1086.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding;108;108
1031;10860.0;C;1086;;GROCERIES;EXPENSES - GOODS;Vervaardiging van gehomogeniseerde voedingspreparaten en dieetvoeding;108;108
406;1089.0;C;108;;GROCERIES;EXPENSES - GOODS;Vervaardiging van andere voedingsmiddelen, n.e.g.;108;108
1032;10890.0;C;1089;;GROCERIES;EXPENSES - GOODS;Vervaardiging van andere voedingsmiddelen, n.e.g.;108;108
97;109.0;C;10;3.0;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Vervaardiging van diervoeders;109;109
407;1091.0;C;109;;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Vervaardiging van veevoeders;109;109
1033;10910.0;C;1091;;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Vervaardiging van veevoeders;109;109
408;1092.0;C;109;;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Vervaardiging van voeders voor huisdieren;109;109
1034;10920.0;C;1092;;GARDEN PRODUCTS AND PETS;EXPENSES - GOODS;Vervaardiging van voeders voor huisdieren;109;109
98;110.0;C;11;;;;Vervaardiging van dranken;;
409;1101.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van gedistilleerde dranken door distilleren, rectificeren en mengen;1101;1101
1035;11010.0;C;1101;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van gedistilleerde dranken door distilleren, rectificeren en mengen;1101;1101
410;1102.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van wijn uit druiven;1102;1102
1036;11020.0;C;1102;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van wijn uit druiven;1102;1102
411;1103.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van cider en van andere vruchtenwijnen;1103;1103
1037;11030.0;C;1103;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van cider en van andere vruchtenwijnen;1103;1103
412;1104.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van andere niet-gedistilleerde gegiste dranken;1104;1104
1038;11040.0;C;1104;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van andere niet-gedistilleerde gegiste dranken;1104;1104
413;1105.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van bier;1105;1105
1039;11050.0;C;1105;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van bier;1105;1105
414;1106.0;C;110;4.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van mout;1106;1106
1040;11060.0;C;1106;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van mout;1106;1106
415;1107.0;C;110;4.0;GROCERIES;EXPENSES - GOODS;Vervaardiging van frisdranken;;
1041;11070.0;C;1107;;GROCERIES;EXPENSES - GOODS;Vervaardiging van frisdranken;;
6;12.0;C;C;2.0;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van tabaksproducten;12;12
99;120.0;C;12;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van tabaksproducten;12;12
416;1200.0;C;120;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van tabaksproducten;12;12
1042;12000.0;C;1200;;ALCOHOLIC BEVERAGES AND TOBACCO;EXPENSES - GOODS;Vervaardiging van tabaksproducten;12;12
7;13.0;C;C;2.0;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van textiel;13;13
100;131.0;C;13;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Bewerken en spinnen van textielvezels;13;13
417;1310.0;C;131;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Bewerken en spinnen van textielvezels;13;13
1043;13100.0;C;1310;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Bewerken en spinnen van textielvezels;13;13
101;132.0;C;13;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Weven van textiel;13;13
418;1320.0;C;132;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Weven van textiel;13;13
1044;13200.0;C;1320;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Weven van textiel;13;13
102;133.0;C;13;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Textielveredeling;13;13
419;1330.0;C;133;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Textielveredeling;13;13
1045;13300.0;C;1330;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Textielveredeling;13;13
103;139.0;C;13;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van andere textielproducten;13;13
420;1391.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van gebreide en gehaakte stoffen;13;13
1046;13910.0;C;1391;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van gebreide en gehaakte stoffen;13;13
421;1392.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van geconfectioneerde artikelen van textiel, exclusief kleding;13;13
1047;13921.0;C;1392;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van beddengoed, tafellinnen en textielwaren voor huishoudelijk gebruik;13;13
1048;13929.0;C;1392;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van overige geconfectioneerde artikelen van textiel, m.u.v. kleding;13;13
422;1393.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van vloerkleden en tapijt;13;13
1049;13930.0;C;1393;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van vloerkleden en tapijt;13;13
423;1394.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van koord, bindgaren, touw en netten;13;13
1050;13940.0;C;1394;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van koord, bindgaren, touw en netten;13;13
424;1395.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van gebonden textielvlies en van artikelen van gebonden textielvlies, exclusief kleding;13;13
1051;13950.0;C;1395;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van gebonden textielvlies en van artikelen van gebonden textielvlies, exclusief kleding;13;13
425;1396.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van ander technisch en industrieel textiel;13;13
1052;13960.0;C;1396;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van ander technisch en industrieel textiel;13;13
426;1399.0;C;139;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van andere textielproducten, n.e.g.;13;13
1053;13990.0;C;1399;;HOUSEHOLD TEXTILES, TABLEWARE, AND SMALL APPLIANCES;EXPENSES - GOODS;Vervaardiging van andere textielproducten, n.e.g.;13;13
8;14.0;C;C;2.0;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van kleding;14;14
104;141.0;C;14;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van kleding, exclusief bontkleding;14;14
427;1411.0;C;141;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van kleding van leer;14;14
1054;14110.0;C;1411;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van kleding van leer;14;14
428;1412.0;C;141;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van werkkleding;14;14
1055;14120.0;C;1412;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van werkkleding;14;14
429;1413.0;C;141;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van andere bovenkleding;14;14
1056;14130.0;C;1413;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van andere bovenkleding;14;14
430;1414.0;C;141;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van onderkleding;14;14
1057;14140.0;C;1414;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van onderkleding;14;14
431;1419.0;C;141;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van andere kleding en toebehoren;14;14
1058;14191.0;C;1419;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van hoeden en petten;14;14
1059;14199.0;C;1419;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van andere kleding en toebehoren, n.e.g.;14;14
105;142.0;C;14;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van artikelen van bont;14;14
432;1420.0;C;142;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van artikelen van bont;14;14
1060;14200.0;C;1420;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van artikelen van bont;14;14
106;143.0;C;14;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van gebreide en gehaakte kleding;14;14
433;1431.0;C;143;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van gebreide en gehaakte kousen en sokken;14;14
1061;14310.0;C;1431;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van gebreide en gehaakte kousen en sokken;14;14
434;1439.0;C;143;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van andere gebreide en gehaakte kleding;14;14
1062;14390.0;C;1439;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van andere gebreide en gehaakte kleding;14;14
107;151.0;C;15;3.0;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Looien en bewerken van leer;;
435;1511.0;C;151;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Looien en bereiden van leer;;
1063;15110.0;C;1511;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Looien en bereiden van leer;;
436;1512.0;C;151;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van koffers, tassen en dergelijke en van zadel- en tuigmakerswerk;151;151
1064;15120.0;C;1512;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van koffers, tassen en dergelijke en van zadel- en tuigmakerswerk;151;151
108;152.0;C;15;3.0;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van schoeisel;152;152
437;1520.0;C;152;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van schoeisel;152;152
1065;15200.0;C;1520;;CLOTHING AND FOOTWEAR;EXPENSES - GOODS;Vervaardiging van schoeisel;152;152
109;161.0;C;16;3.0;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Zagen en schaven van hout;161;161
438;1610.0;C;161;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Zagen en schaven van hout;161;161
1066;16100.0;C;1610;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Zagen en schaven van hout;161;161
110;162.0;C;16;3.0;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van artikelen van hout, kurk, riet of vlechtwerk;162;162
439;1621.0;C;162;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van fineer en van panelen op basis van hout;162;162
1067;16210.0;C;1621;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van fineer en van panelen op basis van hout;162;162
440;1622.0;C;162;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van geassembleerde parketvloeren;162;162
1068;16220.0;C;1622;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van geassembleerde parketvloeren;162;162
441;1623.0;C;162;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van ander schrijn- en timmerwerk;162;162
1069;16230.0;C;1623;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van ander schrijn- en timmerwerk;162;162
442;1624.0;C;162;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van houten emballage;162;162
1070;16240.0;C;1624;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van houten emballage;162;162
443;1629.0;C;162;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van andere artikelen van hout;;
1071;16291.0;C;1629;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van andere artikelen van hout;162;162
1072;16292.0;C;1629;;FURNITURE, FURNISHINGS, AND LOOSE CARPETS;EXPENSES - GOODS;Vervaardiging van artikelen van kurk, riet of vlechtwerk;162;162
111;171.0;C;17;;;;Vervaardiging van papierpulp, papier en karton;;
444;1711.0;C;171;4.0;OTHER NON-DURABLE GOODS;EXPENSES - GOODS;Vervaardiging van papierpulp;1711;1711
1073;17110.0;C;1711;;OTHER NON-DURABLE GOODS;EXPENSES - GOODS;Vervaardiging van papierpulp;1711;1711
445;1712.0;C;171;4.0;OTHER NON-DURABLE GOODS;EXPENSES - GOODS;Vervaardiging van papier en karton;1712;1712
1074;17120.0;C;1712;;OTHER NON-DURABLE GOODS;EXPENSES - GOODS;Vervaardiging van papier en karton;1712;1712
112;172.0;C;17;;;;Vervaardiging van artikelen van papier of karton;;
446;1721.0;C;172;4.0;OTHER NON-DURABLE GOODS;EXPENSES - GOODS;Vervaardiging van gegolfd papier en golfkarton en van verpakkingsmateriaal van papier en karton;1721;1721
1075;17210.0;C;1721;;OTHER NON-DURABLE GOODS;EXPENSES - GOODS;Vervaardiging van gegolfd papier en golfkarton en van verpakkingsmateriaal van papier en karton;1721;1721
447;1722.0;C;172;4.0;OTHER NON-DURABLE GOODS;EXPENSES - GOODS;Vervaardiging van huishoudelijke en sanitaire papierwaren;1722;1722
1076;17220.0;C;1722;;OTHER NON-DURABLE GOODS;EXPENSES - GOODS;Vervaardiging van huishoudelijke en sanitaire papierwaren;1722;1722
448;1723.0;C;172;4.0;OTHER NON-DURABLE GOODS;EXPENSES - GOODS;Vervaardiging van kantoorbenodigdheden van papier;1723;1723
1077;17230.0;C;1723;;OTHER NON-DURABLE GOODS;EXPENSES - GOODS;Vervaardiging van kantoorbenodigdheden van papier;1723;1723
449;1724.0;C;172;4.0;SECURITY EQUIPMENT AND MATERIALS FOR THE MAINTENANCE AND REPAIR OF THE DWELLING;EXPENSES - GOODS;Vervaardiging van behangpapier;1724;1724
