mcc;public_mcc_description;Prometis_label
3299;WIDERO’S FLYVESELSKAP;PASSENGER TRANSPORT SERVICES - AIR
3351;AFFILIATED AUTO RENTAL;PASSENGER TRANSPORT SERVICES - ROAD
3352;AMERICAN INTL RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3353;BROOKS RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3354;ACTION AUTO RENTAL;PASSENGER TRANSPORT SERVICES - ROAD
3355;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3356;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3357;HERTZ RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3358;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3359;PAYLESS CAR RENTAL;PASSENGER TRANSPORT SERVICES - ROAD
3360;SNAPPY CAR RENTAL;PASSENGER TRANSPORT SERVICES - ROAD
3361;AIRWAYS RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3362;ALTRA AUTO RENTAL;PASSENGER TRANSPORT SERVICES - ROAD
3363;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3364;AGENCY RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3365;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3366;BUDGET RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3367;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3368;HOLIDAY RENT-A-WRECK;PASSENGER TRANSPORT SERVICES - ROAD
3369;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3370;RENT-A-WRECK;PASSENGER TRANSPORT SERVICES - ROAD
3371;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3372;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3373;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3374;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3375;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3376;AJAX RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3377;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3378;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3379;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3380;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3381;EUROP CAR;PASSENGER TRANSPORT SERVICES - ROAD
3382;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3383;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3384;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3385;TROPICAL RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3386;SHOWCASE RENTAL CARS;PASSENGER TRANSPORT SERVICES - ROAD
3387;ALAMO RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3388;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3389;AVIS RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3390;DOLLAR RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3391;EUROPE BY CAR;PASSENGER TRANSPORT SERVICES - ROAD
3392;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3393;NATIONAL CAR RENTAL;PASSENGER TRANSPORT SERVICES - ROAD
3394;KEMWELL GROUP RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3395;THRIFTY RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3396;TILDEN TENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3397;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3398;ECONO-CAR RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3399;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3400;AUTO HOST COST CAR RENTALS;PASSENGER TRANSPORT SERVICES - ROAD
3401;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3402;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3403;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3404;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3405;ENTERPRISE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3406;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3407;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3408;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3409;GENERAL RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3410;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3411;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3412;A-1 RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3413;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3414;GODFREY NATL RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3415;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3416;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3417;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3418;Car Rental;PASSENGER TRANSPORT SERVICES - ROAD
3419;ALPHA RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3420;ANSA INTL RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
3421;ALLSTAE RENT-A-CAR;PASSENGER TRANSPORT SERVICES - ROAD
