mcc,mcc_range_start,mcc_range_end,mcc_range_description,mcc_range_reserved_flag,iso_description,usda_description,stripe_description,stripe_code,visa_req_clearing_name,alipay_description,mastercard_description,mastercard_abbreviated_airline_name,amex_description,visa_mcc,visa_mcc_title,visa_mcc_description,visa_included_in_mcc,human_assigned_coicop_label
3623,3000,3999,Reserved for private use,True,,DORINT HOTELS,,,,,Dorint Hotels,,,3623,DORINT HOTELS,,,ACCOMMODATION SERVICES
3624,3000,3999,Reserved for private use,True,,,,,,,Lady Luck Hotel and Casino,,,3624,LADY LUCK HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3625,3000,3999,Reserved for private use,True,,HOTLE UNIVERSALE,,,,,Hotel Universale,,HOTEL UNIVERSALE,3625,HOTEL UNIVERSALE,,,ACCOMMODATION SERVICES
3626,3000,3999,Reserved for private use,True,,PRINCE HOTELS,,,,,Studio Plus,,STUDIO PLUS,3626,STUDIO PLUS,,,ACCOMMODATION SERVICES
3627,3000,3999,Reserved for private use,True,,,,,,,Extended Stay America,,EXTENDED STAY AMERICA,3627,EXTENDED STAY AMERICA,,,ACCOMMODATION SERVICES
3628,3000,3999,Reserved for private use,True,,,,,,,Excalibur Hotel and Casino,,EXCALIBUR HOTEL AND CASINO,3628,EXCALIBUR HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3629,3000,3999,Reserved for private use,True,,DAN HOTELS,,,,,Dan Hotels,,DAN HOTELS,3629,DAN HOTELS,,,ACCOMMODATION SERVICES
3630,3000,3999,Reserved for private use,True,,,,,,,Tokyu Hotels,,EXTENDED STAY DELUXE,3630,TOKYU HOTELS,,,ACCOMMODATION SERVICES
3631,3000,3999,Reserved for private use,True,,,,,,,Sleep Inns,,SLEEP INN,3631,SLEEP INN,,,ACCOMMODATION SERVICES
3632,3000,3999,Reserved for private use,True,,,,,,,The Phoenician,,THE PHOENICIAN,3632,THE PHOENICIAN,,,ACCOMMODATION SERVICES
3633,3000,3999,Reserved for private use,True,,RANK HOTELS,,,,,Rank Hotels,,RANK HOTELS,3633,RANK HOTELS,,,ACCOMMODATION SERVICES
3634,3000,3999,Reserved for private use,True,,SWISSOTEL,,,,,Swissotel,,SWISSOTEL,3634,SWISSOTEL,,,ACCOMMODATION SERVICES
3635,3000,3999,Reserved for private use,True,,RESO HOTELS,,,,,Reso Hotel,,RESO HOTELS,3635,RESO HOTELS,,,ACCOMMODATION SERVICES
3636,3000,3999,Reserved for private use,True,,SAROVA HOTELS,,,,,Sarova Hotels,,SAROVA HOTELS,3636,SAROVA HOTELS,,,ACCOMMODATION SERVICES
3637,3000,3999,Reserved for private use,True,,RAMADA INNS,,,,,Ramada Inns,,RAMADA INNS,3637,RAMADA INNS,,,ACCOMMODATION SERVICES
3638,3000,3999,Reserved for private use,True,,HO JO INN,,,,,Howard Johnson,,HOWARD JOHNSON,3638,HOWARD JOHNSON,,,ACCOMMODATION SERVICES
3639,3000,3999,Reserved for private use,True,,MOUNT CHARLOTTE THISTLE,,,,,Mount Charlotte Thistle,,MOUNT CHARLOTTE THISTLE,3639,MOUNT CHARLOTTE THISTLE,,,ACCOMMODATION SERVICES
3640,3000,3999,Reserved for private use,True,,HYATT HOTEL,,,,,Hyatt Hotels,,HYATT HOTELS,3640,HYATT HOTELS,,,ACCOMMODATION SERVICES
3641,3000,3999,Reserved for private use,True,,SOFITEL HOTELS,,,,,Sofitel Hotels,,SOFITEL HOTELS,3641,SOFITEL HOTELS,,,ACCOMMODATION SERVICES
3642,3000,3999,Reserved for private use,True,,NOVOTEL HOTELS,,,,,Novotel Hotels,,NOVOTEL HOTELS,3642,NOVOTEL HOTELS,,,ACCOMMODATION SERVICES
3643,3000,3999,Reserved for private use,True,,STEIGENBERGER HOTELS,,,,,Steigenberger Hotels,,STEIGENBERGER HOTELS,3643,STEIGENBERGER HOTELS,,,ACCOMMODATION SERVICES
3644,3000,3999,Reserved for private use,True,,ECONO LODGES,,,,,EconoLodges,,ECONO LODGES,3644,ECONO LODGES,,,ACCOMMODATION SERVICES
3645,3000,3999,Reserved for private use,True,,QUEENS MOAT HOUSES,,,,,Queens Moat Houses,,QUEENS MOAT HOUSES,3645,QUEENS MOAT HOUSES,,,ACCOMMODATION SERVICES
3646,3000,3999,Reserved for private use,True,,SWALLOW HOTELS,,,,,Swallow Hotels,,SWALLOW HOTELS,3646,SWALLOW HOTELS,,,ACCOMMODATION SERVICES
3647,3000,3999,Reserved for private use,True,,HUSA HOTELS,,,,,Husa Hotels,,HUSA HOTELS,3647,HUSA HOTELS,,,ACCOMMODATION SERVICES
3648,3000,3999,Reserved for private use,True,,DE VERE HOTELS,,,,,De Vera Hotels,,DE VERE HOTELS,3648,DE VERE HOTELS,,,ACCOMMODATION SERVICES
3649,3000,3999,Reserved for private use,True,,RADISSON HOTELS,,,,,Radisson,,RADISSON HOTELS,3649,RADISSON HOTELS,,,ACCOMMODATION SERVICES
3650,3000,3999,Reserved for private use,True,,RED ROOK INNS,,,,,Red Roof Inns,,RED ROOF INNS,3650,RED ROOF INNS,,,ACCOMMODATION SERVICES
3651,3000,3999,Reserved for private use,True,,IMPERIAL LONDON HOTEL,,,,,Imperial London Hotels,,IMPERIAL LONDON HOTEL,3651,IMPERIAL LONDON HOTEL,,,ACCOMMODATION SERVICES
3652,3000,3999,Reserved for private use,True,,EMBASSY HOTELS,,,,,Embassy Hotels,,EMBASSY HOTELS,3652,EMBASSY HOTELS,,,ACCOMMODATION SERVICES
3653,3000,3999,Reserved for private use,True,,PENTA HOTELS,,,,,Penta Hotels,,PENTA HOTELS,3653,PENTA HOTELS,,,ACCOMMODATION SERVICES
3654,3000,3999,Reserved for private use,True,,LOEWS HOTELS,,,,,Loews Hotels,,LOEWS HOTELS,3654,LOEWS HOTELS,,,ACCOMMODATION SERVICES
3655,3000,3999,Reserved for private use,True,,SCANDIC HOTELS,,,,,Scandic Hotels,,SCANDIC HOTELS,3655,SCANDIC HOTELS,,,ACCOMMODATION SERVICES
3656,3000,3999,Reserved for private use,True,,SARA HOTELS,,,,,Sara Hotels,,SARA AHOTELS,3656,SARA HOTELS,,,ACCOMMODATION SERVICES
3657,3000,3999,Reserved for private use,True,,,,,,,Oberoi Hotels,,OBEROI HOTELS,3657,OBEROI HOTELS,,,ACCOMMODATION SERVICES
3658,3000,3999,Reserved for private use,True,,OTANI HOTELS,,,,,New Otani Hotels,,NEW OTANI HOTELS,3658,NEW OTANI HOTELS,,,ACCOMMODATION SERVICES
3659,3000,3999,Reserved for private use,True,,TAJ HOTELS INTERNATIONAL,,,,,Taj Hotels International,,TAJ HOTELS INTERNATIONAL,3659,TAJ HOTELS INTERNATIONAL,,,ACCOMMODATION SERVICES
3660,3000,3999,Reserved for private use,True,,KNIGHTS INNS,,,,,Knights Inn,,KNIGHTS INNS,3660,KNIGHTS INNS,,,ACCOMMODATION SERVICES
3661,3000,3999,Reserved for private use,True,,METROPOLE HOTELS,,,,,Metropole Hotels,,METROPOLE HOTELS,3661,METROPOLE HOTELS,,,ACCOMMODATION SERVICES
3662,3000,3999,Reserved for private use,True,,,,,,,Circus Circus Hotel and Casino,,,3662,CIRCUS CIRCUS HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3663,3000,3999,Reserved for private use,True,,HOTELES EL PRESIDENTS,,,,,Hoteles El Presidente,,,3663,HOTELES EL PRESIDENTE,,,ACCOMMODATION SERVICES
3664,3000,3999,Reserved for private use,True,,FLAG INN,,,,,Flag Inns,,FLAG INN,3664,FLAG INN,,,ACCOMMODATION SERVICES
3665,3000,3999,Reserved for private use,True,,HAMPTON INNS,,,,,Hampton Inn Hotels,,HAMPTON INNS,3665,HAMPTON INNS,,,ACCOMMODATION SERVICES
3666,3000,3999,Reserved for private use,True,,STAKIS HOTELS,,,,,Stakis Hotels,,STAKIS HOTELS,3666,STAKIS HOTELS,,,ACCOMMODATION SERVICES
3667,3000,3999,Reserved for private use,True,,,,,,,Luxor Hotel and Casino,,LUXOR HOTEL AND CASINO,3667,LUXOR HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3668,3000,3999,Reserved for private use,True,,MARITIM HOTELS,,,,,Maritim Hotels,,MARITIM HOTELS,3668,MARITIM HOTELS,,,ACCOMMODATION SERVICES
3669,3000,3999,Reserved for private use,True,,,,,,,Eldorado Hotel and Casino,,ELDORADO HOTEL AND CASINO,3669,ELDORADO HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3670,3000,3999,Reserved for private use,True,,ARCARD HOTELS,,,,,Arcade Hotels,,ARCADE HOTELS,3670,ARCADE HOTELS,,,ACCOMMODATION SERVICES
3671,3000,3999,Reserved for private use,True,,ARCTIA HOTELS,,,,,Arctia Hotels,,ARCTIA HOTELS,3671,ARCTIA HOTELS,,,ACCOMMODATION SERVICES
3672,3000,3999,Reserved for private use,True,,CAMPANIEL HOTELS,,,,,Campanile Hotels,,CAMPANILE HOTELS,3672,CAMPANILE HOTELS,,,ACCOMMODATION SERVICES
3673,3000,3999,Reserved for private use,True,,IBUSZ HOTELS,,,,,IBUSZ Hotels,,IBUSZ HOTELS,3673,IBUSZ HOTELS,,,ACCOMMODATION SERVICES
3674,3000,3999,Reserved for private use,True,,RANTASIPI HOTELS,,,,,Rantasipi Hotels,,RANTASIPI HOTELS,3674,RANTASIPI HOTELS,,,ACCOMMODATION SERVICES
3675,3000,3999,Reserved for private use,True,,INTERHOTEL CEDOK,,,,,Interhotel CEDOK,,INTERHOTEL CEDOK,3675,INTERHOTEL CEDOK,,,ACCOMMODATION SERVICES
3676,3000,3999,Reserved for private use,True,,,,,,,Monte Carlo Hotel and Casino,,MONTE CARLO HOTEL AND CASINO,3676,MONTE CARLO HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3677,3000,3999,Reserved for private use,True,,CLIMAT DE FRANCE HOTELS,,,,,Climat de France Hotels,,CLIMAT DE FRANCE HOTELS,3677,CLIMAT DE FRANCE HOTELS,,,ACCOMMODATION SERVICES
3678,3000,3999,Reserved for private use,True,,CUMULUS HOTELS,,,,,Cumulus Hotels,,CUMULUS HOTELS,3678,CUMULUS HOTELS,,,ACCOMMODATION SERVICES
3679,3000,3999,Reserved for private use,True,,DANUBIUS HOTEL,,,,,Silver Legacy Hotel and Casino,,SILVER LEGACY HOTEL AND CASINO,3679,SILVER LEGACY HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3680,3000,3999,Reserved for private use,True,,,,,,,Hoteis Othan,,HOTEIS OTHAN,3680,HOTEIS OTHAN,,,ACCOMMODATION SERVICES
3681,3000,3999,Reserved for private use,True,,ADAMS MARK HOTELS,,,,,Adams Mark Hotels,,ADAMS MARK HOTELS,3681,ADAMS MARK HOTELS,,,ACCOMMODATION SERVICES
3682,3000,3999,Reserved for private use,True,,ALLSTAR INNS,,,,,Sahara Hotel and Casino,,SAHARA HOTEL AND CASINO,3682,SAHARA HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3683,3000,3999,Reserved for private use,True,,,,,,,Bradbury Suites,,BRADBURY SUITES,3683,BRADBURY SUITES,,,ACCOMMODATION SERVICES
3684,3000,3999,Reserved for private use,True,,BUDGET HOST INNS,,,,,Budget Hosts Inns,,BUDGET HOST INNS,3684,BUDGET HOST INNS,,,ACCOMMODATION SERVICES
3685,3000,3999,Reserved for private use,True,,BUDGETEL HOTELS,,,,,Budgetel Inns,,BUDGETEL INNS,3685,BUDGETEL INNS,,,ACCOMMODATION SERVICES
3686,3000,3999,Reserved for private use,True,,SUISSE CHALETS,,,,,Susse Chalet,,SUSSE CHALET,3686,SUSSE CHALET,,,ACCOMMODATION SERVICES
3687,3000,3999,Reserved for private use,True,,CLARION HOTELS,,,,,Clarion Hotels,,CLARION HOTELS,3687,CLARION HOTELS,,,ACCOMMODATION SERVICES
3688,3000,3999,Reserved for private use,True,,COMPRI HOTELS,,,,,Compri Hotels,,COMPRI HOTELS,3688,COMPRI HOTELS,,,ACCOMMODATION SERVICES
3689,3000,3999,Reserved for private use,True,,CONSORT HOTELS,,,,,Consort Hotels,,CONSORT HOTELS,3689,CONSORT HOTELS,,,ACCOMMODATION SERVICES
3690,3000,3999,Reserved for private use,True,,COURTYARD BY MARRIOTT,,,,,Courtyard by Marriott,,COURTYARD BY MARRIOTT,3690,COURTYARD BY MARRIOTT,,,ACCOMMODATION SERVICES
3691,3000,3999,Reserved for private use,True,,DILLION INNS,,,,,Dillon Inn,,DILLON INNS,3691,DILLON INNS,,,ACCOMMODATION SERVICES
3692,3000,3999,Reserved for private use,True,,,,,,,Doubletree,,DOUBLETREE HOTELS,3692,DOUBLETREE HOTELS,,,ACCOMMODATION SERVICES
3693,3000,3999,Reserved for private use,True,,DRURY INNS,,,,,Drury Inn,,DRURY INNS,3693,DRURY INNS,,,ACCOMMODATION SERVICES
3694,3000,3999,Reserved for private use,True,,ECONOMY INNS OF AMERICA,,,,,Economy Inns of America,,ECONOMY INNS OF AMERICA,3694,ECONOMY INNS OF AMERICA,,,ACCOMMODATION SERVICES
3695,3000,3999,Reserved for private use,True,,EMBASSY SUITES,,,,,Embassy Suites,,EMBASSY SUITES,3695,EMBASSY SUITES,,,ACCOMMODATION SERVICES
3696,3000,3999,Reserved for private use,True,,EXEL INNS,,,,,Excel Inn,,EXEL INNS,3696,EXEL INNS,,,ACCOMMODATION SERVICES
3697,3000,3999,Reserved for private use,True,,FARFIELD HOTELS,,,,,Fairfield Hotels,,FAIRFIELD HOTELS,3697,FAIRFIELD HOTELS,,,ACCOMMODATION SERVICES
3698,3000,3999,Reserved for private use,True,,HARLEY HOTELS,,,,,Harley Hotels,,HARLEY HOTELS,3698,HARLEY HOTELS,,,ACCOMMODATION SERVICES
3699,3000,3999,Reserved for private use,True,,MIDWAY MOTOR LODGE,,,,,Midway Motor Lodge,,MIDWAY MOTOR LODGE,3699,MIDWAY MOTOR LODGE,,,ACCOMMODATION SERVICES
3700,3000,3999,Reserved for private use,True,,MOTEL 6,,,,,Motel 6,,MOTEL 6,3700,MOTEL 6,,,ACCOMMODATION SERVICES
3701,3000,3999,Reserved for private use,True,,GUEST QUARTERS (Formally PICKETT SUITE HOTELS),,,,,La Mansion Del Rio,,,3701,LA MANSION DEL RIO,,,ACCOMMODATION SERVICES
3702,3000,3999,Reserved for private use,True,,THE REGISTRY HOTELS,,,,,Registry Hotels,,,3702,THE REGISTRY HOTELS,,,ACCOMMODATION SERVICES
3703,3000,3999,Reserved for private use,True,,RESIDENCE INNS,,,,,Residence Inn,,RESIDENCE INNS,3703,RESIDENCE INNS,,,ACCOMMODATION SERVICES
3704,3000,3999,Reserved for private use,True,,ROYCE HOTELS,,,,,Royce Hotels,,ROYCE HOTELS,3704,ROYCE HOTELS,,,ACCOMMODATION SERVICES
3705,3000,3999,Reserved for private use,True,,SANDMAN INNS,,,,,Sandman Inn,,SANDMAN INNS,3705,SANDMAN INNS,,,ACCOMMODATION SERVICES
3706,3000,3999,Reserved for private use,True,,SHILO INNS,,,,,Shilo Inn,,SHILO INNS,3706,SHILO INNS,,,ACCOMMODATION SERVICES
3707,3000,3999,Reserved for private use,True,,SHONEY'S  INNS,,,,,Shoney's Inn,,SHONEY'S INNS,3707,SHONEY’S INNS,,,ACCOMMODATION SERVICES
3708,3000,3999,Reserved for private use,True,,,,,,,Virgin River Hotel and Casino,,VIRGIN RIVER HOTEL AND CASINO,3708,VIRGIN RIVER HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3709,3000,3999,Reserved for private use,True,,SUPER8 MOTELS,,,,,Super 8 Motels,,SUPER 8 MOTELS,3709,SUPER 8 MOTELS,,,ACCOMMODATION SERVICES
3710,3000,3999,Reserved for private use,True,,THE RITZ CARLTON HOTELS,,,,,The Ritz-Carlton,,THE RITZ-CARLTON,3710,THE RITZ-CARLTON,,,ACCOMMODATION SERVICES
3711,3000,3999,Reserved for private use,True,,FLAG INNS (AUSRALIA),,,,,Flag Inns (Australia),,FLAG INNS (AUSTRALIA),3711,FLAG INNS (AUSTRALIA),,,ACCOMMODATION SERVICES
3712,3000,3999,Reserved for private use,True,,GOLDEN CHAIN HOTEL,,,,,Buffalo Bill's Hotel and Casino,,BUFFALO BILL'S HOTEL AND CASINO,3712,BUFFALO BILL’S HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3713,3000,3999,Reserved for private use,True,,QUALITY PACIFIC HOTEL,,,,,Quality Pacific Hotel,,QUALITY PACIFIC HOTEL,3713,QUALITY PACIFIC HOTEL,,,ACCOMMODATION SERVICES
3714,3000,3999,Reserved for private use,True,,FOUR SEASONS HOTEL (AUSTRALIA),,,,,Four Seasons (Australia) Hotels,,FOUR SEASONS HOTEL (AUSTRALIA),3714,FOUR SEASONS HOTEL (AUSTRALIA),,,ACCOMMODATION SERVICES
3715,3000,3999,Reserved for private use,True,,FARIFIELD INN,,,,,Fairfield Inn,,FAIRFIELD INN,3715,FAIRFIELD INN,,,ACCOMMODATION SERVICES
3716,3000,3999,Reserved for private use,True,,CARLTON HOTELS,,,,,Carlton Hotels,,CARLTON HOTELS,3716,CARLTON HOTELS,,,ACCOMMODATION SERVICES
3717,3000,3999,Reserved for private use,True,,CITY LODGE HOTELS,,,,,City Lodge Hotels,,CITY LODGE HOTELS,3717,CITY LODGE HOTELS,,,ACCOMMODATION SERVICES
3718,3000,3999,Reserved for private use,True,,KAROS HOTELS,,,,,Karos Hotels,,KAROS HOTELS,3718,KAROS HOTELS,,,ACCOMMODATION SERVICES
3719,3000,3999,Reserved for private use,True,,PROTEA HOTELS,,,,,Protea Hotels,,PROTEA HOTELS,3719,PROTEA HOTELS,,,ACCOMMODATION SERVICES
3720,3000,3999,Reserved for private use,True,,SOUTHERN SUN HOTELS,,,,,Southern Sun Hotels,,SOUTHERN SUN HOTELS,3720,SOUTHERN SUN HOTELS,,,ACCOMMODATION SERVICES
3721,3000,3999,Reserved for private use,True,,HILTON CONRAD,,,,,Conrad Hotels,,HILTON CONRAD,3721,HILTON CONRAD,,,ACCOMMODATION SERVICES
3722,3000,3999,Reserved for private use,True,,WYNDHAM HOTEL AND RESORTS,,,,,Wyndham,,WYNDHAM,3722,WYNDHAM,,,ACCOMMODATION SERVICES
3723,3000,3999,Reserved for private use,True,,,,,,,Rica Hotels,,RICA HOTELS,3723,RICA HOTELS,,,ACCOMMODATION SERVICES
3724,3000,3999,Reserved for private use,True,,INER NOR HOTELS,,,,,Inter Nor Hotels,,INTER NOR HOTELS,3724,INTER NOR HOTELS,,,ACCOMMODATION SERVICES
3725,3000,3999,Reserved for private use,True,,SEAINES PLANATION,,,,,Sea Pines Resort,,SEA PINES RESORT,3725,SEA PINES RESORT,,,ACCOMMODATION SERVICES
3726,3000,3999,Reserved for private use,True,,RIO SUITES,,,,,Rio Suites,,RIO SUITES,3726,RIO SUITES,,,ACCOMMODATION SERVICES
3727,3000,3999,Reserved for private use,True,,BROADMOOR HOTEL,,,,,Broadmoor Hotel,,BROADMOOR HOTEL,3727,BROADMOOR HOTEL,,,ACCOMMODATION SERVICES
3728,3000,3999,Reserved for private use,True,,BALLY'S HOTEL AND CASINO,,,,,Bally's Hotel and Casino,,BALLY'S HOTEL AND CASINO,3728,BALLY’S HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3729,3000,3999,Reserved for private use,True,,JOHN ASCUAGA'S NUGGET,,,,,John Ascuagas Nugget,,JOHN ASCUAGA'S NUGGET,3729,JOHN ASCUAGA’S NUGGET,,,ACCOMMODATION SERVICES
3730,3000,3999,Reserved for private use,True,,MGM GRAND HOTEL,,,,,MGM Grand Hotel,,MGM GRAND HOTEL,3730,MGM GRAND HOTEL,,,ACCOMMODATION SERVICES
3731,3000,3999,Reserved for private use,True,,HARRAH'S HOTELS AND CASINOS,,,,,Harrahs Hotels and Casinos,,HARRAH'S HOTELS AND CASINOS,3731,HARRAH’S HOTELS AND CASINOS,,,ACCOMMODATION SERVICES
3732,3000,3999,Reserved for private use,True,,OPRYLAND HOTEL,,,,,Opryland Hotel,,OPRYLAND HOTEL,3732,OPRYLAND HOTEL,,,ACCOMMODATION SERVICES
3733,3000,3999,Reserved for private use,True,,BOCA RATON RESORT,,,,,Boca Raton Resort,,,,,,,ACCOMMODATION SERVICES
3734,3000,3999,Reserved for private use,True,,HARVEY/BRISTOL HOTELS,,,,,Harvey Bristol Hotels,,HARVEY/BRISTOL HOTELS,3734,HARVEY/BRISTOL HOTELS,,,ACCOMMODATION SERVICES
3735,3000,3999,Reserved for private use,True,,,,,,,Masters Economy Inns,,MASTERS ECONOMY INNS,3735,MASTERS ECONOMY INNS,,,ACCOMMODATION SERVICES
3736,3000,3999,Reserved for private use,True,,COLORADO BELLE/EDGEWATER RESORT,,,,,Colorado Belle Edgewater Resort,,COLORADO BELLE/EDGEWATER RESORT,3736,COLORADO BELLE/EDGEWATER RESORT,,,ACCOMMODATION SERVICES
3737,3000,3999,Reserved for private use,True,,RIVIERA HOTEL AND CASINO,,,,,Riviera Hotel and Casino,,RIVIERA HOTEL AND CASINO,3737,RIVIERA HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3738,3000,3999,Reserved for private use,True,,TROPICANA RESORT AND CASINO,,,,,Tropicana Resort and Casino,,TROPICANA RESORT & CASINO,3738,TROPICANA RESORT & CASINO,,,ACCOMMODATION SERVICES
3739,3000,3999,Reserved for private use,True,,WOODSIDE HOTELS AND RESORTS,,,,,Woodside Hotels and Resorts,,WOODSIDE HOTELS & RESORTS,3739,WOODSIDE HOTELS & RESORTS,,,ACCOMMODATION SERVICES
3740,3000,3999,Reserved for private use,True,,TOWNPLACE SUITES,,,,,TownePlace Suites,,TOWNEPLACE SUITES,3740,TOWNEPLACE SUITES,,,ACCOMMODATION SERVICES
3741,3000,3999,Reserved for private use,True,,MILLENIUM BROADWAY HOTEL,,,,,Millennium Hotels,,,3741,MILLENNIUM HOTELS,,,ACCOMMODATION SERVICES
3742,3000,3999,Reserved for private use,True,,CLUB MED,,,,,Club Med,,,3742,CLUB MED,,,ACCOMMODATION SERVICES
3743,3000,3999,Reserved for private use,True,,BILTMORE HOTEL AND SUITES,,,,,Biltmore Hotel and Suites,,BILTMORE HOTEL & SUITES,3743,BILTMORE HOTEL & SUITES,,,ACCOMMODATION SERVICES
3744,3000,3999,Reserved for private use,True,,CAREFREE RESORTS,,,,,Carefree Resorts,,CAREFREE RESORTS,3744,CAREFREE RESORTS,,,ACCOMMODATION SERVICES
3745,3000,3999,Reserved for private use,True,,ST. REGIS HOTEL,,,,,St. Regis Hotel,,ST. REGIS HOTEL,3745,ST. REGIS HOTEL,,,ACCOMMODATION SERVICES
3746,3000,3999,Reserved for private use,True,,THE ELIOT HOTEL,,,,,Eliot Hotels,,THE ELIOT HOTEL,3746,THE ELIOT HOTEL,,,ACCOMMODATION SERVICES
3747,3000,3999,Reserved for private use,True,,CLUBCORP/CLUB RESORTS,,,,,Club Corp/Club Resorts,,CLUBCORP/CLUBRESORTS,3747,CLUBCORP/CLUBRESORTS,,,ACCOMMODATION SERVICES
3748,3000,3999,Reserved for private use,True,,WELESLEY INNS,,,,,Wellesley Inns,,WELLESLEY INNS,3748,WELLESLEY INNS,,,ACCOMMODATION SERVICES
3749,3000,3999,Reserved for private use,True,,THE BEVERLY HILLS HOTEL,,,,,Beverly Hills Hotel,,THE BEVERLY HILLS HOTEL,3749,THE BEVERLY HILLS HOTEL,,,ACCOMMODATION SERVICES
3750,3000,3999,Reserved for private use,True,,CROWNE PLAZA HOTELS,,,,,Crowne Plaza Hotels,,CROWNE PLAZA HOTELS,3750,CROWNE PLAZA HOTELS,,,ACCOMMODATION SERVICES
3751,3000,3999,Reserved for private use,True,,HOMEWOOD SUITES,,,,,Homewood Suites,,HOMEWOOD SUITES,3751,HOMEWOOD SUITES,,,ACCOMMODATION SERVICES
3752,3000,3999,Reserved for private use,True,,PEABODY HOTELS,,,,,Peabody Hotels,,PEABODY HOTELS,3752,PEABODY HOTELS,,,ACCOMMODATION SERVICES
3753,3000,3999,Reserved for private use,True,,,,,,,Greenbriar Resorts,,GREENBRIAR RESORTS,3753,GREENBRIAR RESORTS,,,ACCOMMODATION SERVICES
3754,3000,3999,Reserved for private use,True,,AMELIA ISLAND PLANATION,,,,,Amelia Island Plantation,,AMELIA ISLAND PLANTATION,3754,AMELIA ISLAND PLANTATION,,,ACCOMMODATION SERVICES
3755,3000,3999,Reserved for private use,True,,THE HOMESTEAD,,,,,Homestead,,THE HOMESTEAD,3755,THE HOMESTEAD,,,ACCOMMODATION SERVICES
3756,3000,3999,Reserved for private use,True,,SOUTH SEAS RESORTS,,,,,Toyoko Inn,,,3756,TOYOKO INN,,,ACCOMMODATION SERVICES
3757,3000,3999,Reserved for private use,True,,,,,,,Canyon Ranch,,CANYON RANCH,3757,CANYON RANCH,,,ACCOMMODATION SERVICES
3758,3000,3999,Reserved for private use,True,,,,,,,Kahala Mandarin Oriental Hotel,,KAHALA MANDARIN ORIENTAL HOTEL,3758,KAHALA MANDARIN ORIENTAL HOTEL,,,ACCOMMODATION SERVICES
3759,3000,3999,Reserved for private use,True,,,,,,,Orchid at Mauna Lani,,THE ORCHID AT MAUNA LANI,3759,THE ORCHID AT MAUNA LANI,,,ACCOMMODATION SERVICES
3760,3000,3999,Reserved for private use,True,,,,,,,Halekulani Hotel/Waikiki Parc,,HALEKULANI HOTEL/WAIKIKI PARC,3760,HALEKULANI HOTEL/WAIKIKI PARC,,,ACCOMMODATION SERVICES
3761,3000,3999,Reserved for private use,True,,,,,,,Primadonna Hotel and Casino,,PRIMADONNA HOTEL AND CASINO,3761,PRIMADONNA HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3762,3000,3999,Reserved for private use,True,,,,,,,Whiskey Pete's Hotel and Casino,,WHISKEY PETE'S HOTEL AND CASINO,3762,WHISKEY PETE’S HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3763,3000,3999,Reserved for private use,True,,,,,,,Chateau Elan Winery and Resort,,CHATEAU ELAN WINERY AND RESORT,3763,CHATEAU ELAN WINERY AND RESORT,,,ACCOMMODATION SERVICES
3764,3000,3999,Reserved for private use,True,,,,,,,Beau Rivage Hotel and Casino,,BEAU RIVAGE HOTEL AND CASINO,3764,BEAU RIVAGE HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3765,3000,3999,Reserved for private use,True,,,,,,,Bellagio Hotel and Casino,,BELLAGIO,3765,BELLAGIO,,,ACCOMMODATION SERVICES
3766,3000,3999,Reserved for private use,True,,,,,,,Fremont Hotel and Casino,,FREMONT HOTEL AND CASINO,3766,FREMONT HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3767,3000,3999,Reserved for private use,True,,,,,,,Main Street Hotel and Casino,,MAIN STREET STATION HOTEL AND CASINO,3767,MAIN STREET STATION HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3768,3000,3999,Reserved for private use,True,,,,,,,Silver Star Hotel and Casino,,SILVER STAR HOTEL AND CASINO,3768,SILVER STAR HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3769,3000,3999,Reserved for private use,True,,,,,,,Stratosphere Hotel and Casino,,STRATOSPHERE HOTEL AND CASINO,3769,STRATOSPHERE HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3770,3000,3999,Reserved for private use,True,,,,,,,SpringHill Suites,,SPRINGHILL SUITES,3770,SPRINGHILL SUITES,,,ACCOMMODATION SERVICES
3771,3000,3999,Reserved for private use,True,,,,,,,Caesars Hotel and Casino,,CAESAR'S HOTEL AND CASINO,3771,CAESAR’S HOTEL AND CASINO,,,ACCOMMODATION SERVICES
3772,3000,3999,Reserved for private use,True,,,,,,,Nemacolin Woodlands,,NEMACOLIN WOODLANDS,3772,NEMACOLIN WOODLANDS,,,ACCOMMODATION SERVICES
