MCC,MCC_TITLE,MCC_DESCRIPTION,INCLUDED_IN_MCC,SIMILAR_MERCHANTS
5399,Miscellaneous General Merchandise,"Merchants classified with this MCC sell a general line of merchandise. Generally, these Merchants sell the same type of merchandise and operate in the same manner as a department store, but on a much smaller scale.",General Merchandise – Miscellaneous,5300 – Wholesale Clubs 5310 – Discount Stores 5311 – Department Stores 5331 – Variety Stores 5931 – Used Merchandise and Secondhand Stores
5411,Grocery Stores and Supermarkets,"Merchants classified with this MCC sell a complete, full line of food merchandise for home consumption. Most of the food merchandise is perishable, and perishables* must represent at least 45% of Merchant’s total monthly sales volume, measured in local currency. In addition, they also sell canned, frozen, prepackaged, and dry foods, a limited selection of housewares, cleaning and polishing products, personal hygiene products, cosmetics, greeting cards, books, magazines, household items, and dry goods. These Merchants may also operate specialized departments such as an in-store deli counter, meat counter, pharmacy, or floral department. * Perishable goods include the following: • Bakery – in store (service) • Bread and baked goods – fresh • Dairy – butter, margarine, cottage cheese, sour cream, toppings, dough products, eggs, juices/drinks (refrigerated), milk, pudding, desserts, snacks, spreads, dips, and yogurt • Deli – in store (service) • Deli – refrigerated (self service) • Frozen foods – baked goods, breakfast foods, desserts, fruits, toppings, frozen novelties, ice, ice cream, juices, drinks, meal starters, pizza, snacks, hors d’oeuvres, prepared foods, unprepared meat, poultry, seafood, vegetables • Meat, fish, poultry – fresh • Packaged meat – deli • Fresh produce • Floral","Food Stores – Grocery Stores, Supermarkets Supermarkets",5422 – Freezer and Locker Meat Provisioners 5451 – Dairy Products Stores 5499 – Miscellaneous Food Stores – Convenience Stores and Specialty Markets
5422,Freezer and Locker Meat Provisioners,"Merchants classified with this MCC sell fresh, frozen, or cured meats, fish, shellfish, and other seafoods. This MCC also includes bulk retail sellers of meat for freezer storage and home freezer plans.","Butcher Shops Fish, Seafood Markets Frozen Meats, Seafood Meat Markets, Meat Lockers Seafood Markets",5411 – Grocery Stores and Supermarkets 5499 – Miscellaneous Food Stores – Convenience Stores and Specialty Markets
5441,"Candy, Nut, and Confectionery Stores","Merchants classified with this MCC are retail sellers of candy, chocolate, nuts, dried fruits, popcorn and other confections.",Chocolate Shops Confectionery Shops Dried Fruit Shops Nut Shops Popcorn Stands,5451 – Dairy Product Stores 5462 – Bakeries 5499 – Miscellaneous Food Stores – Convenience Stores and Specialty Markets
5451,Dairy Products Stores,"Merchants classified with this MCC sell packaged butter, cheese, ice cream, milk, and other dairy products.",Cheese Shops,5499 – Miscellaneous Food Stores – Convenience Stores and Specialty Markets 5814 – Fast Food Restaurants
5462,Bakeries,Merchants classified with this MCC sell (and may make) bakery goods.,Bagel Shops Cake Shops Cookie Stores Doughnut Shops Pastry Shops Pie Shops Wedding Cakes,5499 – Miscellaneous Food Stores – Convenience Stores and Specialty Markets
5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets,Merchants classified with this MCC sell specialty foods not classified with a more specific MCC.,"Convenience Stores Delicatessens Food Stores – Convenience Fruit Markets Gourmet Food Stores Health Food Stores Mini Markets
Poultry Shops Produce Markets Specialty Food Markets Vegetable Markets Vitamin Stores Meal Preparation Kits","5411 – Grocery Stores and Supermarkets 5422 – Freezer and Locker Meat Provisioners 5441 – Candy, Nut, and Confectionery Stores 5451 – Dairy Products Stores 5462 – Bakeries
5541 – Service Stations (with or without Ancillary Services 5814 – Fast Food Restaurants"
5511,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing","Merchants classified with this MCC sell and/or lease new and used automobiles, trucks, pickups, and vans and may also conduct repair work and sell replacement parts and accessories.","Automobile/Truck Dealers (New/Used) Sales, Service, Repairs, Parts, Leasing Car Dealers (New/Used) Dealers – Automobile/ Truck (New/Used), Sales, Service, Repairs, Parts, Leasing Leasing – Automobile, Truck Motor Vehicle Dealers (New/Used) Repairs – Automobile/ Truck Dealers (New/ Used) Sales, Service, Repairs, Parts, Leasing Truck Dealers (New/Used)","5521 – Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing 5532 – Automotive Tire Stores ....... 5533 – Automotive Parts and Accessories Stores 5561 – Camper, Recreational and Utility Trailer Dealers 5571 – Motorcycle Shops and Dealers 5592 – Motor Home Dealers 5598 – Snowmobile Dealers 5599 – Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified) 7538 – Automotive Service Shops (Non-Dealer)"
5521,"Car and Truck Dealers (Used Only) Sales, Service, Repairs, Parts, and Leasing","Merchants classified with this MCC sell and/or lease only used automobiles, trucks, pickups and vans and may also conduct repair work and sell replacement parts and accessories.",Antique Automobiles Automobiles/Trucks (Used Only) Car Dealers (Used Only) Dealers – Antique Automobiles Dealers – Automobile/ Truck (Used Only),"5511 – Car and Truck Dealers (New/Used) Sales, Service, Repairs, Parts, and Leasing 5532 – Automotive Tire Stores 5533 – Automotive Parts and Accessories Stores 5561 – Camper, Recreational and Utility Trailer Dealers 5571 – Motorcycle Shops and Dealers 5592 – Motor Home Dealers 5598 – Snowmobile Dealers 5599 – Miscellaneous Automotive, Aircraft, and Farm Equipment Dealers (Not Elsewhere Classified) 7538 – Automotive Service Shops (Non-Dealer)"
5532,Automotive Tire Stores,Merchants classified with this MCC sell automotive and truck tires and related parts and may also conduct tire installation and repair services.,"Car Tires – New Only
Repairs – Automotive Tire Stores Services – Repairs/ Automotive Tire Stores Tire Stores","5533 – Automotive Parts and
Accessories Stores 7534 – Tire Retreading and Repair Shops 7538 – Automotive Service Shops (Non-Dealer)"
5533,Automotive Parts and Accessories Stores,"Merchants classified with this MCC sell automobile parts, equipment, and accessories, including electric vehicle charging equipment designed for personal use.","Accessories – Automotive Automobile – Parts, Accessories Stores Car Parts, Accessories Stores Motor Vehicle Supplies, Parts Parts, Automotive Supplies – Automotive Parts, Accessories Stores",5532 – Automotive Tires Stores 5732 – Electronics Stores
5541,Service Stations (With or without Ancillary Services),"Merchants classified with this MCC are retail sellers of engine fuel These Merchants may or may not also have a convenience store, car wash, or automotive repair shop on the premises, but must sell fuel for consumer use. Excluded from this category code are Automated Fuel Dispensers, MCC 5542",Filling Stations – Automotive Gasoline Gas Stations (With or Without Ancillary Services) Gasoline – Service Stations Marina Service Stations Petrol – Service Stations Truck Stops – Gasoline Service,5542 – Automated Fuel Dispensers 7538 – Automotive Service Shops (Non-Dealer)
5542,Automated Fuel Dispensers,Merchants classified with this MCC are retail sellers of engine fuel through the use of an Automated Fuel Dispenser (AFD).,Cardholder-Activated Fuel Dispensers Fuel Dispensers – Automated Gas Pumps (Automated Fuel Dispensers) Fuel – Self-Service Terminals Petrol Dispensers – Automated Petrol – Self- Service Terminals Self-Service Terminals – Fuel Self-Service Terminals – Petrol,5541 – Service Stations (With or Without Ancillary Services) 7538 – Automotive Service Shops (Non-Dealer)
5551,Boat Dealers,"Merchants classified with this MCC sell new and used motorboats, sailboats, and other watercraft, marine supplies, and outboard motors.",Dealers – Boat Motorboat Dealers Outboard Motor Dealers Powerboat Dealers Sailboat Dealers,"4468 – Marinas, Marine Service, and Supplies"
